Species	Coefficient of Conservatism	Common Name	Genius	Family	Order
Lonicera japonica	*	Japanese honeysuckle	Lonicera	Caprifoliaceae	Dipsacales
Symphoricarpos occidentalis	2	wolfberry	Symphoricarpos	Caprifoliaceae	Dipsacales
Silene antirrhina	2	sleepy catchfly	Silene	Caryophyllaceae	Caryophyllales
Tradescantia occidentalis	5	western spiderwort	Tradescantia	Commelinaceae	Commelinales
Tradescantia ohiensis	4	Ohio spiderwort	Tradescantia	Commelinaceae	Commelinales
Calystegia sepium	1	common hedge bindweed	Calystegia	Convolvulaceae	Solanales
Convolvulus arvensis	*	field bindweed	Convolvulus	Convolvulaceae	Solanales
Juniperus virginiana	1	eastern red-cedar	Juniperus	Cupressaceae	Pinales
Carex brevior	4	short-beak sedge	Carex	Cyperaceae	Poales
Cyperus schwinitzii	4	sand flatsedge	Cyperus	Cyperaceae	Poales
Euphorbia dentata	0	eastern toothed spurge	Euphorbia	Euphorbiaceae	Malpighiales
Euphorbia maculata	0	spotted spurge	Euphorbia	Euphorbiaceae	Malpighiales
Amorpha canescens	6	leadplant	Amorpha	Fabaceae	Fabales
Astragalus canadensis	5	Canada milk-vetch	Astragalus 	Fabaceae	Fabales
Baptisia alba	6	white wild indigo	Baptisia	Fabaceae	Fabales
Chamaecrista fasciculata	1	showy partridge-pea	Chamaecrista	Fabaceae	Fabales
Dalea candida	6	eastern white prairie-clover	Dalea	Fabaceae	Fabales
Dalea leporina	3	hare-foot dalea	Dalea	Fabaceae	Fabales
Dalea purpurea	6	purple prairie-clover	Dalea	Fabaceae	Fabales
Dalea villosa	5	silky prairie-clover	Dalea	Fabaceae	Fabales
Desmanthus illinoensis	5	Illinois bundleflower	Desmanthus	Fabaceae	Fabales
Desmodium canadensis	5	Canada Tick-clover	Desmodium	Fabaceae	Fabales
Gleditsia triacanthos	1	honey-locust	Gleditsia	Fabaceae	Fabales
Lespedeza capitata	5	round-head bush-clover	Lespedeza	Fabaceae	Fabales
Lotus unifoliolatus	11	prairie trefoil	Acmispon	Fabaceae	Fabales
Medicago sativa	*	alfalfa	Medicago 	Fabaceae	Fabales
Melilotus officinalis	*	sweet-clover	Melilotus	Fabaceae	Fabales
Mimosa nuttallii	6	sensitive brier	Mimosa	Fabaceae	Fabales
Psoralidium tenuiflorum	5	slender-flower scurf-pea	Psoralidium	Fabaceae	Fabales
Securigera varia	*	crown-vetch	Securigera DC	Fabaceae	Fabales
Trifolium pratense	*	red clover	Trifolium	Fabaceae	Fabales
Trifolium repens	*	white clover	Trifolium	Fabaceae	Fabales
Vicia americana	6	American vetch	Vicia	Fabaceae	Fabales
Hypericum perforatum	*	common St. John's-wort	Hypericum	Hypericaceae	Malpighiales
Juncus dudleyii	5	Dudley's rush	Juncus	Juncaceae	Poales
Hedeoma hispida	2	rough false-pennyroyal	Hedeoma	lamialceae	lamiales
Monarda citriodora	*	lemon bee-balm	Monarda	Lamialceae	Lamiales
Monarda fistulosa	4	wild-bergamot	Monarda	Lamialceae	Lamiales
Nepeta cataria	*	catnip	Nepeta	Lamialceae	Lamiales
Pycnanthemum virginianum	6	Virginia mountain-mint	Pycnanthemum	Lamialceae	Lamiales
Salvia azurea	6	Pitcher's sage	Salvia L	Lamialceae	Lamiales
Sphaeralcea coccinea	4	scarlet globe-mallow	Sphaeralcea	Malvaceae	Malvales
Proboscidea lousianica	*	devil's-claw	Proboscidea	Martyniaceae	Lamiales
Morus alba	*	white mulberry	Morus	Moraceae	Rosales
Fraxinus pennsylvanica	6	white ash	Fraxinus	Oleaceae	Lamiales
Oenothera biennis	1	eastern evening-primrose	Oenothera	Onagraceae	Myrtales
Oenothera laciniata	1	cut-leaf evening-primrose	Oenothera	Onagraceae	Myrtales
Oenothera rhombipetala	2	fourpoint evening-primrose	Oenothera	Onagraceae	Myrtales
Oxalis stricta	0	yellow wood-sorrel	Oxalis	Oxalidaceae	Oxalidales
Penstemon digitalis	*	foxglove penstemon	Penstemon	Plantaginaceae	Lamiales
Penstemon grandiflorus	5	shell-leaf penstemon	Penstemon	Plantaginaceae	Lamiales
Plantago patagonica	1	woolly plantain	Plantago	Plantaginaceae	Lamiales
Plantago virginica	2	pale-seed plantain	Plantago	Plantaginaceae	Lamiales
Andropogon gerardii	5	big bluestem	Andropogon	Poaceae	Poales
Andropogon hallii	5	sand bluestem	Andropogon	Poaceae	Poales
Bouteloua curtipendula	5	sideoats grama	Bouteloua	Poaceae	Poales
Bouteloua gracilis	4	blue grama	Bouteloua	Poaceae	Poales
Bromus inermis	*	smooth brome	Bromus	Poaceae	Poales
Bromus japonicus	*	Japenese brome	Bromus	Poaceae	Poales
Bromus tectorum	*	downy brome	Bromus	Poaceae	Poales
Chloris verticillata	0	tumble windmill grass	Chloris	Poaceae	Poales
Dichanthelium acuminatum	6	western spring-panicum	Dichanthelium	Poaceae	Poales
Dichanthelium oligosanthes	4	Scribner's spring-panicum	Dichanthelium	Poaceae	Poales
Distichlis spicata	3	saltgrass	Distichlis	Poaceae	Poales
Echinochloa crus-galli 	*	barnyard grass	Echinochloa	Poaceae	poales
Elymus canadensis	5	Canada wild-rye	Elymus	Poaceae	Poales
Elymus virginicus	4	Virginia wild-rye	Elymus	Poaceae	poales
Eragrostis spectabilis	3	purple lovegrass	Eragrostis	Poaceae	poales
Eragrostis trichodes	5	sand lovegrass	Eragrostis	Poaceae	Poales
Festuca octoflora	3	six-weeks fescue	Vulpia	Poaceae	Poales
Hordeum jubatum	1	foxtail barley	Hordeum	Poaceae	Poales
Hordeum pusillum	1	little barley	Hordeum	Poaceae	Poales
Koeleria macrantha	6	Junegrass	Koeleria	Poaceae	Poales
Panicum dichotomiflorum	0	fall panicum	Panicum	Poaceae	Poales
Panicum virgatum	4	switchgrass	Panicum	Poaceae	Poales
Pascopyrum smithii	3	western wheatgrass	Pascopyrum	Poaceae	Poales
Phalaris arundinacea	*	reed canary grass	Phalaris	Poaceae	Poales
Phleum pratense	*	timothy	Phleum	Poaceae	Poales
Poa pratensis	*	Kentucky bluegrass	Poa	Poaceae	Poales
Schizachyrium scoparium	4	little bluestem	Schizachyrium Nees	Poaceae	Poales
Setaria viridis	*	green foxtail	Setaria	Poaceae	Poales
Sorghastrum nutans	5	Indian grass	Sorghastrum Nash	Poaceae	Poales
Sporobolus compositus	3	tall dropseed	Sporobolus	Poaceae	Poales
Rumex crispus	*	curly dock	Rrumex L	Polygonaceae	Caryophyllales
Ceanothus americanus	6	broad-leaf New Jersey tea	Ceanothus	Rhamnaceae	Rosales
Potentilla arguta	6	tall cinquefoil	Potentilla	Rosaceae	Rosales
Rosa arkansana	4	dwarf prairie rose	Rosa	Rosaceae	Rosales
Rosa woodsii	4	western wild rose	Rosa	Rosaceae	Rosales
Galium aparine	0	catch-weed bedstraw	Galium	Rubiaceae	Gentianales
Populus deltoides	3	plains cottonwood	Populus	Salicaceae	Malpighiales
